t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right,z_bumper,vz_bumper
27.87999,0,0,-1.56763,0,0,-0.0749834,0.03672872,0.3672872,0,0,-1.880902,-0.05281509
27.89999,0,0,-1.568763,0,0,-0.05661905,0.03667472,0.3667472,0,0,-1.882088,-0.0593158
27.91999,0,0,-1.569528,0,0,-0.03828169,0.03612636,0.3612636,0,0,-1.883402,-0.06570169
27.93999,0,0,-1.569933,0,0,-0.02021852,0.03509317,0.3509317,0,0,-1.88484,-0.07187573
27.95999,0,0,-1.569986,0,0,-0.002671942,0.03359173,0.3359173,0,0,-1.886394,-0.07774435
27.97999,0,0,-1.569704,0,0,0.01412392,0.03164481,0.3164481,0,0,-1.888059,-0.08321878
27.99999,0,0,-1.569105,0,0,0.02994632,0.0292816,0.292816,0,0,-1.889823,-0.08821625
28.01999,0,0,-1.568213,0,0,0.04458711,0.02653669,0.2653669,0,0,-1.891676,-0.09266111
28.03999,0,0,-1.567056,0,0,0.05785545,0.02344976,0.2344976,0,0,-1.893606,-0.09648586
28.05999,0,0,-1.565664,0,0,0.06958033,0.02006553,0.2006553,0,0,-1.895599,-0.09963204
28.07999,0,0,-1.564072,0,0,0.07961309,0.01643227,0.1643227,0,0,-1.89764,-0.102051
28.09999,0,0,-1.562315,0,0,0.08782922,0.0126016,0.126016,0,0,-1.899714,-0.1037047
28.11999,0,0,-1.560433,0,0,0.09413002,0.008627757,0.08627757,0,0,-1.901805,-0.1045657
28.13999,0,0,-1.558464,0,0,0.0984439,0.004566535,0.04566535,0,0,-1.903897,-0.1046182
28.15999,0,0,-1.556449,0,0,0.1007272,0.0004749149,0.004749149,0,0,-1.905975,-0.1038576
28.17999,0,0,-1.55443,0,0,0.1009646,0,0,0,0,-1.90802,-0.1022909
28.19999,0,0,-1.552411,0,0,0.1009646,0,0,0,0,-1.910033,-0.1006542
28.21999,0,0,-1.550392,0,0,0.1009646,0,0,0,0,-1.912014,-0.09904376
28.23999,0,0,-1.548372,0,0,0.1009646,0,0,0,0,-1.913964,-0.09745906
28.25999,0,0,-1.546353,0,0,0.1009646,0,0,0,0,-1.915882,-0.09589972
28.27999,0,0,-1.544334,0,0,0.1009646,0,0,0,0,-1.917769,-0.09436532
28.29999,0,0,-1.542314,0,0,0.1009646,0,0,0,0,-1.919626,-0.09285548
28.31999,0,0,-1.540295,0,0,0.1009646,0,0,0,0,-1.921453,-0.09136979
28.33999,0,0,-1.538276,0,0,0.1009646,0,0,0,0,-1.923252,-0.08990787
28.35999,0,0,-1.536257,0,0,0.1009646,0,0,0,0,-1.925021,-0.08846934
28.37999,0,0,-1.534237,0,0,0.1009646,0,0,0,0,-1.926762,-0.08705384
28.39999,0,0,-1.532218,0,0,0.1009646,0,0,0,0,-1.928475,-0.08566097
28.41999,0,0,-1.530199,0,0,0.1009646,0,0,0,0,-1.930161,-0.0842904
28.43999,0,0,-1.528179,0,0,0.1009646,0,0,0,0,-1.93182,-0.08294176
28.45999,0,0,-1.52616,0,0,0.1009646,0,0,0,0,-1.933452,-0.08161469
28.47999,0,0,-1.524141,0,0,0.1009646,0,0,0,0,-1.935058,-0.08030885
28.49999,0,0,-1.522122,0,0,0.1009646,0,0,0,0,-1.936639,-0.07902391
28.51999,0,0,-1.520102,0,0,0.1009646,0,0,0,0,-1.938194,-0.07775953
28.53999,0,0,-1.518083,0,0,0.1009646,0,0,0,0,-1.939724,-0.07651538
28.55999,0,0,-1.516064,0,0,0.1009646,0,0,0,0,-1.94123,-0.07529114
28.57999,0,0,-1.514044,0,0,0.1009646,0,0,0,0,-1.942712,-0.07408649
28.59999,0,0,-1.512025,0,0,0.1009646,0,0,0,0,-1.94417,-0.07290111
28.61999,0,0,-1.510006,0,0,0.1009646,0,0,0,0,-1.945605,-0.07173469
28.63999,0,0,-1.507987,0,0,0.1009646,0,0,0,0,-1.947017,-0.07058693
28.65999,0,0,-1.505967,0,0,0.1009646,0,0,0,0,-1.948406,-0.06945755
28.67999,0,0,-1.503948,0,0,0.1009646,0,0,0,0,-1.949773,-0.06834622
28.69999,0,0,-1.501929,0,0,0.1009646,0,0,0,0,-1.951118,-0.06725269
28.71999,0,0,-1.499909,0,0,0.1009646,0,0,0,0,-1.952441,-0.06617665
28.73999,0,0,-1.49789,0,0,0.1009646,0,0,0,0,-1.953744,-0.06511782
28.75999,0,0,-1.495871,0,0,0.1009646,0,0,0,0,-1.955025,-0.06407594
28.77999,0,0,-1.493852,0,0,0.1009646,0,0,0,0,-1.956286,-0.06305072
28.79999,0,0,-1.491832,0,0,0.1009646,0,0,0,0,-1.957527,-0.06204191
28.81999,0,0,-1.489813,0,0,0.1009646,0,0,0,0,-1.958748,-0.06104924
28.83999,0,0,-1.487794,0,0,0.1009646,0,0,0,0,-1.959949,-0.06007246
28.85999,0,0,-1.485774,0,0,0.1009646,0,0,0,0,-1.961132,-0.0591113
28.87999,0,0,-1.483755,0,0,0.1009646,0,0,0,0,-1.962295,-0.05816552
28.89999,0,0,-1.481736,0,0,0.1009646,0,0,0,0,-1.96344,-0.05723487
28.91999,0,0,-1.479717,0,0,0.1009646,0,0,0,0,-1.964566,-0.05631911
28.93999,0,0,-1.477697,0,0,0.1009646,0,0,0,0,-1.965674,-0.055418
28.95999,0,0,-1.475678,0,0,0.1009646,0,0,0,0,-1.966765,-0.05453132
28.97999,0,0,-1.473659,0,0,0.1009646,0,0,0,0,-1.967838,-0.05365882
28.99999,0,0,-1.471639,0,0,0.1009646,0,0,0,0,-1.968894,-0.05280028
29.01999,0,0,-1.46962,0,0,0.1009646,0,0,0,0,-1.969933,-0.05195547
29.03999,0,0,-1.467601,0,0,0.1009646,0,0,0,0,-1.970956,-0.05112419
29.05999,0,0,-1.465582,0,0,0.1009646,0,0,0,0,-1.971962,-0.0503062
29.07999,0,0,-1.463562,0,0,0.1009646,0,0,0,0,-1.972952,-0.0495013
29.09999,0,0,-1.461543,0,0,0.1009646,0,0,0,0,-1.973926,-0.04870928
29.11999,0,0,-1.459524,0,0,0.1009646,0,0,0,0,-1.974885,-0.04792993
29.13999,0,0,-1.457504,0,0,0.1009646,0,0,0,0,-1.975828,-0.04716305
29.15999,0,0,-1.455485,0,0,0.1009646,0,0,0,0,-1.976756,-0.04640844
29.17999,0,0,-1.453466,0,0,0.1009646,0,0,0,0,-1.977669,-0.04566591
29.19999,0,0,-1.451447,0,0,0.1009646,0,0,0,0,-1.978568,-0.04493526
29.21999,0,0,-1.449427,0,0,0.1009646,0,0,0,0,-1.979452,-0.04421629
29.23999,0,0,-1.447408,0,0,0.1009646,0,0,0,0,-1.980323,-0.04350884
29.25999,0,0,-1.445389,0,0,0.1009646,0,0,0,0,-1.981179,-0.04281269
29.27999,0,0,-1.443369,0,0,0.1009646,0,0,0,0,-1.982021,-0.04212769
29.29999,0,0,-1.44135,0,0,0.1009646,0,0,0,0,-1.982851,-0.04145365
29.31999,0,0,-1.439331,0,0,0.1009646,0,0,0,0,-1.983666,-0.04079039
29.33999,0,0,-1.437312,0,0,0.1009646,0,0,0,0,-1.984469,-0.04013775
29.35999,0,0,-1.435292,0,0,0.1009646,0,0,0,0,-1.985259,-0.03949554
29.37999,0,0,-1.433273,0,0,0.1009646,0,0,0,0,-1.986036,-0.03886361
29.39999,0,0,-1.431254,0,0,0.1009646,0,0,0,0,-1.986801,-0.0382418
29.41999,0,0,-1.429234,0,0,0.1009646,0,0,0,0,-1.987554,-0.03762993
29.43999,0,0,-1.427215,0,0,0.1009646,0,0,0,0,-1.988294,-0.03702785
29.45999,0,0,-1.425196,0,0,0.1009646,0,0,0,0,-1.989023,-0.03643541
29.47999,0,0,-1.423177,0,0,0.1009646,0,0,0,0,-1.98974,-0.03585244
29.49999,0,0,-1.421157,0,0,0.1009646,0,0,0,0,-1.990445,-0.0352788
29.51999,0,0,-1.419138,0,0,0.1009646,0,0,0,0,-1.99114,-0.03471434
29.53999,0,0,-1.417119,0,0,0.1009646,0,0,0,0,-1.991823,-0.03415891
29.55999,0,0,-1.415099,0,0,0.1009646,0,0,0,0,-1.992495,-0.03361237
29.57999,0,0,-1.41308,0,0,0.1009646,0,0,0,0,-1.993157,-0.03307457
29.59999,0,0,-1.411061,0,0,0.1009646,0,0,0,0,-1.993808,-0.03254538
29.61999,0,0,-1.409042,0,0,0.1009646,0,0,0,0,-1.994448,-0.03202466
29.63999,0,0,-1.407022,0,0,0.1009646,0,0,0,0,-1.995078,-0.03151226
29.65999,0,0,-1.405003,0,0,0.1009646,0,0,0,0,-1.995698,-0.03100806
29.67999,0,0,-1.402984,0,0,0.1009646,0,0,0,0,-1.996309,-0.03051194
29.69999,0,0,-1.400964,0,0,0.1009646,0,0,0,0,-1.996909,-0.03002375
29.71999,0,0,-1.398945,0,0,0.1009646,0,0,0,0,-1.9975,-0.02954337
29.73999,0,0,-1.396926,0,0,0.1009646,0,0,0,0,-1.998081,-0.02907067
29.75999,0,0,-1.394907,0,0,0.1009646,0,0,0,0,-1.998654,-0.02860554
