t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right,z_bumper,vz_bumper
0.01999999,0,0,0,0,0,1,0,0,0,0,-0.8,0
0.03999998,0,0,0.01999999,0,0,1,0,0,0,0,-0.8,0
0.05999998,0,0,0.03999998,0,0,1,0,0,0,0,-0.8,0
0.07999997,0,0,0.05999998,0,0,1,0,0,0,0,-0.8,0
0.09999996,0,0,0.07999997,0,0,1,0,0,0,0,-0.8,0
0.12,0,0,0.09999996,0,0,1,0,0,0,0,-0.8,0
0.14,0,0,0.12,0,0,1,0,0,0,0,-0.8,0
0.1599999,0,0,0.14,0,0,1,0,0,0,0,-0.8,0
0.1799999,0,0,0.16,0,0,1,0,0,0,0,-0.8,0
0.1999999,0,0,0.1799999,0,0,1,0,0,0,0,-0.8,0
0.2199999,0,0,0.1999999,0,0,1,0,0,0,0,-0.8,0
0.2399999,0,0,0.2199999,0,0,1,0,0,0,0,-0.8,0
0.2599999,0,0,0.2399999,0,0,1,0,0,0,0,-0.8,0
0.2799999,0,0,0.2599999,0,0,1,0,0,0,0,-0.8,0
0.2999999,0,0,0.2799999,0,0,1,0,0,0,0,-0.8,0
0.3199999,0,0,0.2999999,0,0,1,0,0,0,0,-0.8,0
0.3399999,0,0,0.3199999,0,0,1,0,0,0,0,-0.8,0
0.3599999,0,0,0.3399999,0,0,1,0,0,0,0,-0.8,0
0.3799999,0,0,0.3599998,0,0,1,0,0,0,0,-0.8,0
0.3999999,0,0,0.3799998,0,0,1,0,0,0,0,-0.8,0
0.4199998,0,0,0.3999998,0,0,1,0,0,0,0,-0.8,0
0.4399998,0,0,0.4199998,0,0,1,0,0,0,0,-0.8,0
0.4599998,0,0,0.4399998,0,0,1,0,0,0,0,-0.8,0
0.4799998,0,0,0.4599997,0,0,1,0,0,0.009999737,0.09999737,-0.8,0
0.4999998,0,0,0.4798997,0,0,0.9950001,0,0,0.02989973,0.2989973,-0.8,0
0.5199998,0,0,0.4995007,0,0,0.9800503,0,0,0.04950072,0.4950072,-0.8,0
0.5399998,0,0,0.5186067,0,0,0.9552999,0,0,0.06860672,0.6860672,-0.8,0
0.5599998,0,0,0.5370266,0,0,0.9209965,0,0,0.08702664,0.8702664,-0.8,0
0.5799998,0,0,0.5545763,0,0,0.8774832,0,0,0.1045763,1.045763,-0.8,0
0.5999998,0,0,0.5710801,0,0,0.8251951,0,0,0.1210801,1.210801,-0.8,0
0.6199998,0,0,0.5863733,0,0,0.7646551,0,0,0.1363733,1.363733,-0.8,0
0.6399997,0,0,0.6003026,0,0,0.6964685,0,0,0.1503026,1.503026,-0.8,0
0.6599998,0,0,0.612729,0,0,0.6213172,0,0,0.162729,1.62729,-0.8,0
0.6799998,0,0,0.623528,0,0,0.5399528,0,0,0.173528,1.73528,-0.8,0
0.6999997,0,0,0.6325918,0,0,0.4531888,0,0,0.1825918,1.825918,-0.8,0
0.7199997,0,0,0.6398296,0,0,0.3618929,0,0,0.1898296,1.898296,-0.8,0
0.7399997,0,0,0.6451692,0,0,0.2669781,0,0,0.1951692,1.951692,-0.8,0
0.7599998,0,0,0.6485571,0,0,0.1693936,0,0,0.1985571,1.985571,-0.8,0
0.7799997,0,0,0.6499594,0,0,0.07011509,0,0,0.1999594,1.999594,-0.8,0
0.7999997,0,0,0.6493621,0,0,-0.02986456,0,0,0.1993621,1.993621,-0.8,0
0.8199997,0,0,0.6467712,0,0,-0.1295456,0,0,0.1967712,1.967712,-0.8,0
0.8399997,0,0,0.6422126,0,0,-0.2279311,0,0,0.1922126,1.922126,-0.8,0
0.8599997,0,0,0.6357318,0,0,-0.3240374,0,0,0.1857318,1.857318,-0.8,0
0.8799997,0,0,0.6273938,0,0,-0.4169033,0,0,0.1773938,1.773938,-0.8,0
0.8999997,0,0,0.6172818,0,0,-0.5056001,0,0,0.1672818,1.672818,-0.8,0
0.9199997,0,0,0.605497,0,0,-0.589241,0,0,0.155497,1.55497,-0.8,0
0.9399996,0,0,0.5921572,0,0,-0.6669894,0,0,0.1421572,1.421572,-0.8,0
0.9599997,0,0,0.5773959,0,0,-0.738068,0,0,0.1273959,1.273959,-0.8,0
0.9799997,0,0,0.5613606,0,0,-0.801766,0,0,0.1113606,1.113606,-0.8,0
0.9999996,0,0,0.5442117,0,0,-0.8574463,0,0,0.09421168,0.9421169,-0.8,0
